"tot","halfBlack","quarterBlack","ThreeQBlack"
NA,NA,NA,NA
469,0.0135039090262971,0.00995024875621891,0.00213219616204691
404.5,0.0214256283477544,0.0140090646889164,0.00329625051503914
404.5,0.0271940667490729,0.0156571899464359,0.00494437577255871
369.333333333333,0.0379061371841155,0.0108303249097473,0.0108303249097473
287.333333333333,0.0359628770301624,0.0255220417633411,0.00812064965197216
331,0.0281973816717019,0.0281973816717019,0.0120845921450151
137.466666666667,0.032007759456838,0.0358874878758487,0.0126091173617847
68.7,0.024745269286754,0.042212518195051,0.0189228529839884
36.4333333333333,0.0384263494967978,0.040256175663312,0.0182982616651418
