"halfBlack","quarterBlack","ThreeQBlack"
NA,NA,NA
0.0051413881748072,0.0051413881748072,0.0038560411311054
0.0150909897913893,0.0133155792276964,0.00621393697292499
0.0286844708209693,0.0415430267062315,0.00593471810089021
0.0320910973084886,0.0331262939958592,0.0124223602484472
0.0240174672489083,0.0403930131004367,0.0229257641921397
0.0396039603960396,0.0284653465346535,0.0148514851485149
0.0294599018003273,0.0327332242225859,0.0147299509001637
0.0409090909090909,0.0318181818181818,0.0340909090909091
0.0483870967741935,0.0537634408602151,0.032258064516129
