"halfBlack","quarterBlack","ThreeQBlack"
NA,NA,NA
0.00483870967741936,0.00806451612903226,0.0032258064516129
0.00765027322404372,0.014207650273224,0.00327868852459016
0.0139335476956056,0.00803858520900321,0.00321543408360129
0.0155038759689922,0.0155038759689922,0.00387596899224806
0.0254452926208651,0.0165394402035623,0.00572519083969466
0.0232717316906229,0.0150581793292266,0.00410677618069815
0.0343347639484979,0.0228898426323319,0.0128755364806867
0.041025641025641,0.0239316239316239,0.0102564102564103
NA,NA,NA
