"halfBlack","quarterBlack","ThreeQBlack"
NA,NA,NA
0.020125786163522,0.010062893081761,0.0050314465408805
0.0416666666666667,0.0198412698412698,0.00992063492063492
0.0348139255702281,0.0168067226890756,0.0156062424969988
0.048284625158831,0.0216010165184244,0.01143583227446
0.0447530864197531,0.0231481481481481,0.0108024691358025
0.0333333333333333,0.016,0.014
0.0401253918495298,0.0175548589341693,0.0175548589341693
0.0261437908496732,0.0196078431372549,0.028322440087146
0.0414691943127962,0.023696682464455,0.0154028436018957
